id,title,artist,genre,mood,energy,tempo_bpm,valence,danceability,acousticness,popularity,release_decade,mood_secondary,instrumentalness,loudness
1,Sunrise City,Neon Echo,pop,happy,0.82,118,0.84,0.79,0.18,78,2020,euphoric,0.01,0.72
2,Midnight Coding,LoRoom,lofi,chill,0.42,78,0.56,0.62,0.71,65,2020,focused,0.15,0.38
3,Storm Runner,Voltline,rock,intense,0.91,152,0.48,0.66,0.10,72,2010,aggressive,0.02,0.88
4,Library Rain,Paper Lanterns,lofi,chill,0.35,72,0.60,0.58,0.86,58,2020,nostalgic,0.22,0.32
5,Gym Hero,Max Pulse,pop,intense,0.93,132,0.77,0.88,0.05,81,2020,euphoric,0.00,0.90
6,Spacewalk Thoughts,Orbit Bloom,ambient,chill,0.28,60,0.65,0.41,0.92,54,2010,dreamy,0.45,0.22
7,Coffee Shop Stories,Slow Stereo,jazz,relaxed,0.37,90,0.71,0.54,0.89,62,2000,nostalgic,0.30,0.31
8,Night Drive Loop,Neon Echo,synthwave,moody,0.75,110,0.49,0.73,0.22,70,2010,nostalgic,0.05,0.68
9,Focus Flow,LoRoom,lofi,focused,0.40,80,0.59,0.60,0.78,60,2020,chill,0.18,0.35
10,Rooftop Lights,Indigo Parade,indie pop,happy,0.76,124,0.81,0.82,0.35,74,2010,euphoric,0.02,0.65
11,Neon Jungle,Bass Drop,edm,intense,0.95,140,0.72,0.92,0.04,85,2020,euphoric,0.08,0.92
12,Acoustic Sunrise,Pine Valley,folk,relaxed,0.31,88,0.74,0.48,0.95,56,2010,nostalgic,0.12,0.26
13,Hip Hop Bounce,Street Pulse,hip-hop,energetic,0.85,98,0.78,0.90,0.07,88,2020,aggressive,0.00,0.80
14,Classical Rain,Vienna Strings,classical,melancholic,0.22,64,0.38,0.25,0.97,50,1990,nostalgic,0.85,0.18
15,Retro Funk Groove,Groove Machine,funk,happy,0.78,112,0.82,0.87,0.32,68,1980,euphoric,0.05,0.71
16,Heavy Metal Storm,Iron Fist,metal,intense,0.97,168,0.32,0.55,0.05,61,2000,aggressive,0.04,0.95
17,Bossa Nova Breeze,Rio Smooth,bossa nova,relaxed,0.42,104,0.76,0.65,0.88,59,1990,romantic,0.20,0.36
18,Indie Dream,Velvet Atlas,indie,nostalgic,0.58,100,0.68,0.63,0.52,66,2010,dreamy,0.08,0.52
19,R&B Night,Silk Wave,r&b,romantic,0.65,96,0.75,0.78,0.28,80,2020,chill,0.03,0.60
20,Country Road,Maple Hill,country,happy,0.55,108,0.80,0.68,0.72,63,2000,nostalgic,0.10,0.48
21,Electronic Float,Dusk Circuit,electronic,dreamy,0.62,102,0.61,0.71,0.38,67,2020,chill,0.25,0.56
22,Punk Rush,Broken Signal,punk,intense,0.89,160,0.42,0.76,0.08,55,2000,aggressive,0.01,0.85
